symbol,token,expiry,strike,type,lot_size,ltp,volume,oi,bid,ask
NIFTY25D2324200CE,14571266,2025-12-23,24200,CE,75,1941.0,0,2325,1973.35,1996.95
NIFTY25D2324200PE,14571522,2025-12-23,24200,PE,75,0.4,2575275,1376700,0.4,0.45
NIFTY25D2324300CE,14572290,2025-12-23,24300,CE,75,1888.6,150,150,1883.7,1888.65
NIFTY25D2324300PE,14572546,2025-12-23,24300,PE,75,0.45,1687650,935325,0.4,0.45
NIFTY25D2324400CE,14573314,2025-12-23,24400,CE,75,1560.3,0,225,1781.0,1796.9
NIFTY25D2324400PE,14573570,2025-12-23,24400,PE,75,0.4,1378050,1024050,0.4,0.45
NIFTY25D2324500CE,14574338,2025-12-23,24500,CE,75,1695.65,675,7125,1684.75,1688.55
NIFTY25D2324500PE,14574594,2025-12-23,24500,PE,75,0.4,16361100,4743150,0.4,0.45
NIFTY25D2324600CE,14575362,2025-12-23,24600,CE,75,1560.55,0,1200,1582.65,1590.8
NIFTY25D2324600PE,14575618,2025-12-23,24600,PE,75,0.4,2802525,1613925,0.4,0.45
NIFTY25D2324700CE,14576386,2025-12-23,24700,CE,75,1458.4,0,2250,1482.85,1489.4
NIFTY25D2324700PE,14576642,2025-12-23,24700,PE,75,0.5,4245825,860025,0.45,0.5
NIFTY25D2324800CE,14577410,2025-12-23,24800,CE,75,1372.85,300,5925,1382.85,1388.3
NIFTY25D2324800PE,14577666,2025-12-23,24800,PE,75,0.45,4832925,1359900,0.45,0.5
NIFTY25D2324900CE,14578434,2025-12-23,24900,CE,75,1255.25,0,5550,1283.95,1299.45
NIFTY25D2324900PE,14578690,2025-12-23,24900,PE,75,0.6,9937425,3231450,0.55,0.6
NIFTY25D2325000CE,14579458,2025-12-23,25000,CE,75,1183.8,29100,41400,1185.7,1188.7
NIFTY25D2325000PE,14579714,2025-12-23,25000,PE,75,0.6,28978650,6890550,0.55,0.6
NIFTY25D2325100CE,14580482,2025-12-23,25100,CE,75,1089.25,1350,19575,1085.65,1089.25
NIFTY25D2325100PE,14580738,2025-12-23,25100,PE,75,0.6,17309775,2859300,0.55,0.6
NIFTY25D2325200CE,14581506,2025-12-23,25200,CE,75,976.45,11550,28650,986.45,988.55
NIFTY25D2325200PE,14581762,2025-12-23,25200,PE,75,0.7,21999825,5852775,0.65,0.7
NIFTY25D2325300CE,14582786,2025-12-23,25300,CE,75,875.65,22350,46650,885.8,887.5
NIFTY25D2325300PE,14583042,2025-12-23,25300,PE,75,0.8,20987325,4047450,0.75,0.8
NIFTY25D2325400CE,14583810,2025-12-23,25400,CE,75,788.5,14250,55125,785.75,788.3
NIFTY25D2325400PE,14584066,2025-12-23,25400,PE,75,0.85,30518475,5949825,0.8,0.85
NIFTY25D2325500CE,14584834,2025-12-23,25500,CE,75,687.05,123225,117225,687.05,687.85
NIFTY25D2325500PE,14585090,2025-12-23,25500,PE,75,0.9,62105250,10944825,0.85,0.9
NIFTY25D2325600CE,14585858,2025-12-23,25600,CE,75,589.05,89625,120000,586.45,588.05
NIFTY25D2325600PE,14586114,2025-12-23,25600,PE,75,0.9,50499075,10107975,0.9,0.95
NIFTY25D2325700CE,14588418,2025-12-23,25700,CE,75,487.0,480750,396525,486.35,487.35
NIFTY25D2325700PE,14588674,2025-12-23,25700,PE,75,0.95,54389325,10583850,0.95,1.0
NIFTY25D2325800CE,14589442,2025-12-23,25800,CE,75,386.6,1550700,810900,386.25,387.1
NIFTY25D2325800PE,14589698,2025-12-23,25800,PE,75,1.0,68697150,12170400,1.0,1.05
NIFTY25D2325900CE,14591490,2025-12-23,25900,CE,75,286.6,7032675,1810275,286.4,287.1
NIFTY25D2325900PE,14592514,2025-12-23,25900,PE,75,1.25,111898125,15774825,1.2,1.25
NIFTY25D2326000CE,14593282,2025-12-23,26000,CE,75,187.55,49992150,4125675,187.55,187.95
NIFTY25D2326000PE,14594050,2025-12-23,26000,PE,75,1.7,238823700,20339550,1.7,1.75
NIFTY25D2326100CE,14594818,2025-12-23,26100,CE,75,91.85,262443075,9595200,91.6,91.75
NIFTY25D2326100PE,14595074,2025-12-23,26100,PE,75,5.45,513529200,37653150,5.4,5.45
NIFTY25D2326200CE,14597122,2025-12-23,26200,CE,75,22.1,712926150,44054175,22.15,22.2
NIFTY25D2326200PE,14597378,2025-12-23,26200,PE,75,36.05,395877750,26978250,35.95,36.0
NIFTY25D2326300CE,14598402,2025-12-23,26300,CE,75,2.75,314219025,21504525,2.75,2.8
NIFTY25D2326300PE,14598658,2025-12-23,26300,PE,75,117.35,60908550,4864200,117.05,117.3
NIFTY25D2326400CE,14599682,2025-12-23,26400,CE,75,0.85,90087075,10306125,0.8,0.85
NIFTY25D2326400PE,14599938,2025-12-23,26400,PE,75,215.0,7091475,677775,215.1,215.6
NIFTY25D2326500CE,14600706,2025-12-23,26500,CE,75,0.5,71253525,10721475,0.5,0.55
NIFTY25D2326500PE,14600962,2025-12-23,26500,PE,75,315.1,1713450,289575,314.5,315.2
NIFTY25D2326600CE,14601730,2025-12-23,26600,CE,75,0.45,39128175,7109100,0.45,0.5
NIFTY25D2326600PE,14601986,2025-12-23,26600,PE,75,412.1,99450,52425,414.15,415.5
NIFTY25D2326700CE,14602754,2025-12-23,26700,CE,75,0.5,25403475,6094050,0.45,0.5
NIFTY25D2326700PE,14603010,2025-12-23,26700,PE,75,514.4,19425,25200,514.05,515.5
NIFTY25D2326800CE,14603778,2025-12-23,26800,CE,75,0.4,18251550,5298150,0.4,0.45
NIFTY25D2326800PE,14604034,2025-12-23,26800,PE,75,612.0,11850,9300,613.5,615.85
NIFTY25D2326900CE,14604802,2025-12-23,26900,CE,75,0.4,11850525,2811825,0.35,0.4
NIFTY25D2326900PE,14605058,2025-12-23,26900,PE,75,715.95,3900,3900,713.4,715.5
NIFTY25D2327000CE,14605826,2025-12-23,27000,CE,75,0.35,28815900,7892400,0.3,0.35
NIFTY25D2327000PE,14606082,2025-12-23,27000,PE,75,815.0,17250,14175,813.45,816.4
NIFTY25D2327100CE,14606850,2025-12-23,27100,CE,75,0.4,9001950,2405475,0.35,0.4
NIFTY25D2327100PE,14607106,2025-12-23,27100,PE,75,915.35,1125,900,913.5,916.35
NIFTY25D2327200CE,14607874,2025-12-23,27200,CE,75,0.35,9843900,3978525,0.35,0.4
NIFTY25D2327200PE,14608130,2025-12-23,27200,PE,75,1015.0,3975,7125,1013.25,1015.5
NIFTY25D2327300CE,14608898,2025-12-23,27300,CE,75,0.3,7604925,1530975,0.3,0.35
NIFTY25D2327300PE,14609154,2025-12-23,27300,PE,75,1141.8,150,300,1109.2,1116.8
NIFTY25D2327400CE,14609922,2025-12-23,27400,CE,75,0.35,4124325,1357125,0.3,0.35
NIFTY25D2327400PE,14610178,2025-12-23,27400,PE,75,1261.1,0,225,1204.15,1223.2
NIFTY25D2327500CE,14610946,2025-12-23,27500,CE,75,0.35,12008850,5113875,0.3,0.35
NIFTY25D2327500PE,14611202,2025-12-23,27500,PE,75,1315.0,375,2400,1313.0,1317.05
NIFTY25D2327600CE,14611970,2025-12-23,27600,CE,75,0.25,1177725,1399950,0.2,0.25
NIFTY25D2327600PE,14612226,2025-12-23,27600,PE,75,1450.0,0,225,1403.8,1416.7
NIFTY25D2327700CE,14612994,2025-12-23,27700,CE,75,0.3,806925,1125000,0.25,0.3
NIFTY25D2327700PE,14613250,2025-12-23,27700,PE,75,1618.4,0,450,1499.55,1523.45
NIFTY25D2327800CE,14614018,2025-12-23,27800,CE,75,0.3,1271625,1290975,0.25,0.3
NIFTY25D2327800PE,14614274,2025-12-23,27800,PE,75,1635.0,300,375,1612.45,1622.3
NIFTY25D2327900CE,14615298,2025-12-23,27900,CE,75,0.2,2143050,3046275,0.15,0.2
NIFTY25D2327900PE,14615554,2025-12-23,27900,PE,75,1773.25,0,150,1699.15,1723.25
